AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
DOG,May,LABRADOR RETR - CATAHOULA,Infant - Younger than 6 months,MALE,false,MED,RED MERLE,Stray,Other
DOG,July,IBIZAN HOUND - MIX,,FEMALE,true,PUPPY,BLUE,Owner Surrender,Other
DOG,May,ROTTWEILER - MIX,Infant - Younger than 6 months,FEMALE,true,LARGE,BLACK,Stray,Home
CAT,June,,,UNKNOWN,false,KITTN,GRAY,Stray,Euthanized
DOG,March,BOXER - GREAT DANE,Older than 1 year,MALE,true,MED,BROWN,Impound,Home
CAT,March,,,UNKNOWN,false,MED,GRAY,Stray,Euthanized
DOG,December,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Other
DOG,February,,,FEMALE,false,LARGE,BLACK,Impound,Other
DOG,December,PUG - MIX,Older than 1 year,MALE,true,MED,BROWN,Stray,Home
DOG,April,,Older than 1 year,MALE,true,LARGE,CREAM,Owner Surrender,Home
DOG,October,PIT BULL - MIX,Older than 7 years,MALE,true,LARGE,BR BRINDLE,Stray,Home
CAT,September,,,UNKNOWN,false,KITTN,BLACK,Stray,Euthanized
CAT,May,,,MALE,false,MED,WHITE,Owner Surrender,Euthanized
CAT,May,,,FEMALE,false,KITTN,BLACK,Stray,Euthanized
DOG,March,COCKER SPAN - MIX,Older than 1 year,MALE,true,MED,BROWN,Out Patient Spay or Neuter,Other
CAT,July,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TIGER,Stray,Other
CAT,February,DOMESTIC SH - DOMESTIC SH,Older than 1 year,MALE,true,MED,GRAY,Owner Surrender,Other
CAT,August,,Older than 1 year,FEMALE,false,LARGE,GRAY TABBY,Owner Surrender,Euthanized
DOG,April,,Infant - Younger than 6 months,FEMALE,false,LARGE,GRAY,Stray,Other
CAT,July,,Older than 1 year,FEMALE,false,MED,BRN TABBY,Owner Surrender,Euthanized
CAT,August,,,FEMALE,false,LARGE,GRAY TABBY,Stray,Euthanized
CAT,December,,Older than 1 year,FEMALE,false,LARGE,BLK TABBY,Stray,Euthanized
DOG,April,,,MALE,false,MED,BR BRINDLE,Impound,Other
DOG,June,GERM SHEPHERD - MIX,,MALE,false,MED,BROWN,Stray,Euthanized
CAT,February,,Older than 1 year,MALE,true,MED,BLACK,Owner Surrender,Euthanized
DOG,January,,Older than 1 year,MALE,true,SMALL,BROWN,Impound,Other
CAT,April,,,MALE,false,KITTN,GRAY,Stray,Euthanized
DOG,July,,Older than 7 years,MALE,false,LARGE,BLACK,Owner Surrender,Euthanized
CAT,September,,,FEMALE,false,KITTN,GRAY TABBY,Owner Surrender,Euthanized
CAT,April,,Infant - Younger than 6 months,MALE,true,MED,ORG TABBY,Owner Surrender,Home
DOG,September,,Older than 1 year,MALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,September,MASTIFF - MIX,,MALE,false,PUPPY,TAN,Owner Surrender,Other
CAT,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,Stray,Euthanized
CAT,February,,Infant - Younger than 6 months,MALE,true,KITTN,SEAL PT,Owner Surrender,Other
CAT,January,,,FEMALE,false,SMALL,WHITE,Impound,Euthanized
DOG,August,BEAGLE - MIN PINSCHER,Infant - Younger than 6 months,MALE,true,PUPPY,TAN,Foster Return,Home
DOG,April,AMERICAN STAFF - PIT BULL,Older than 7 years,FEMALE,true,MED,WHITE,Owner Surrender,Euthanized
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,Owner Surrender,Euthanized
CAT,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Owner Surrender,Other
CAT,September,,Older than 1 year,FEMALE,true,MED,CALICO,Stray,Other
CAT,January,,Older than 1 year,MALE,false,LARGE,BLK TABBY,Owner Surrender,Euthanized
CAT,January,,Youth - Younger than 1 year,FEMALE,true,MED,LYNX PT,Owner Surrender,Home
DOG,June,GERM SHEPHERD - MIX,,FEMALE,true,MED,BLACK,Owner Surrender,Home
DOG,November,,Older than 1 year,MALE,true,LARGE,BLACK,Stray,Other
DOG,January,PIT BULL - MIX,Youth - Younger than 1 year,FEMALE,true,PUPPY,BLACK,Foster Return,Home
DOG,August,,,FEMALE,false,MED,UNKNOWN,Reported Lost by Public,Other
DOG,August,,,FEMALE,false,MED,BLACK,Stray,Euthanized
DOG,December,,Older than 1 year,FEMALE,true,SMALL,BLACK,Stray,Other
CAT,May,,Older than 1 year,FEMALE,true,MED,BLACK,Stray,Other
CAT,March,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,July,,Older than 1 year,FEMALE,false,MED,GRAY,Stray,Euthanized
CAT,May,,,MALE,false,KITTN,ORG TABBY,Stray,Euthanized
DOG,May,GREAT DANE - MIX,,MALE,true,LARGE,WHITE,Impound,Home
DOG,March,,Older than 7 years,MALE,true,MED,BLACK,Stray,Home
DOG,December,,Older than 1 year,FEMALE,true,MED,BR BRINDLE,Stray,Other
DOG,January,,,MALE,false,LARGE,BLACK,Stray,Other
